Exercise Log,,Week 1,,,,,,Week 2,,,,,,Week 3,,,,,,Week 4,,,,,,Week 5,,,,,,Week 6,,,,,,Week 7,,,,,,Week 8,,,,,,Week 9,,,,,,Week 10,,,,,,Week 11,,,,,,Week 12,,,,,,Week 13,,,,,,Week 14,,,,,,Week 15,,,,,,Week 16,,,,,,Week 17,,,,,,Week 18,,,,,,Week 19,,,,,,Week 20,,,,,,Week 21,,,,,,Week 22,,,,,,Week 23,,,,,,Week 24,,,,,,Week 25,,,,,,Week 26,,,,,,Week 28,,,,,,Week 29,,,,,,Week 30,,,,,,Week 31,,,,
,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes,,Sets,Reps,Load,TRUE,Notes
Leg Extension,,2,10,200,TRUE,,,2,10,200,TRUE,,,2,10,200,TRUE,,,2,10,200,TRUE,,,2,10,220,TRUE,,,2,10,220,TRUE,,,3,10,145,TRUE,Single Leg,,2,10,220,TRUE,,,2,9,240,TRUE,,,2,9,240,TRUE,,,2,8,240,TRUE,,,2,8,240,TRUE,,,2,8,240,TRUE,,,2,8,240,TRUE,,,2,8,240,TRUE,Single Leg (160),,2,8,240,TRUE,,,2,8,240,TRUE,Single Leg (170),,2,8,240,TRUE,,,2,8,240,FALSE,,,2,8,240,TRUE,,,2,8,240,TRUE,,,2,8,240,TRUE,,,2,8,240,TRUE,,,2,8,240,TRUE,,,2,8,240,TRUE,,,2,8,240,TRUE,,,2,8,240,TRUE,,,2,9,240,TRUE,,,2,9,240,TRUE,,,2,9,240,FALSE,
SLDL,,2,8,30,TRUE,,,2,8,45,TRUE,,,2,8,50,TRUE,,,2,8,50,TRUE,,,2,9,50,TRUE,,,2,9,50,TRUE,,,1,9,50,TRUE,Dumbbells,,2,8,70,TRUE,,,2,8,70,TRUE,,,2,8,70,TRUE,,,2,8,70,TRUE,,,1,8,70,TRUE,,,2,8,120,TRUE,,,2,8,120,TRUE,,,2,8,160,TRUE,,,2,8,160,TRUE,,,2,8,160,TRUE,Dumbbell (180),,2,8,160,TRUE,,,2,8,160,FALSE,,,2,8,160,TRUE,95s,,2,8,160,TRUE,,,2,8,160,TRUE,,,2,8,160,TRUE,,,2,10,140,TRUE,,,2,10,140,TRUE,,,2,10,140,TRUE,,,2,10,140,TRUE,,,2,10,185,TRUE,,,2,10,185,FALSE,,,2,10,185,FALSE,
Calf Raise,,3,12,180,TRUE,,,3,12,220,TRUE,,,3,12,240,TRUE,,,3,12,240,TRUE,,,3,12,280,TRUE,140 Single Leg,,3,10,160,TRUE,140 Single Leg,,3,10,170,TRUE,,,3,10,140,TRUE,Single Leg,,3,8,160,TRUE,140 Single Leg,,3,10,160,TRUE,140 Single Leg,,3,10,160,TRUE,140 Single Leg,,3,10,160,TRUE,140 Single Leg,,3,10,180,TRUE,140 Single Leg,,3,10,180,TRUE,140 Single Leg,,3,10,170,TRUE,140 Single Leg,,3,10,170,TRUE,140 Single Leg,,3,10,170,FALSE,140 Single Leg,,3,10,170,TRUE,,,3,10,170,FALSE,140 Single Leg,,3,10,170,TRUE,140 Single Leg,,3,10,170,TRUE,140 Single Leg,,3,8,170,TRUE,Single Leg,,3,8,180,TRUE,Single Leg,,3,10,180,TRUE,,,2,9,180,TRUE,Single Leg,,2,10,180,TRUE,Single Leg,,2,10,180,TRUE,,,2,9,190,TRUE,,,2,9,190,TRUE,,,2,9,190,FALSE,
Adductor (Inner),,2,8,80,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,100,TRUE,,,2,8,100,FALSE,Office Gym*,,2,8,110,TRUE,,,2,10,110,TRUE,,,2,10,110,TRUE,,,2,10,120,TRUE,,,2,8,130,TRUE,,,2,8,130,TRUE,,,2,8,130,FALSE,,,2,8,130,FALSE,,,2,8,130,TRUE,,,2,8,130,FALSE,,,2,8,130,TRUE,,,2,8,130,FALSE,,,2,8,130,FALSE,,,2,8,130,TRUE,,,2,8,130,TRUE,,,2,8,130,TRUE,,,2,8,140,TRUE,,,2,8,140,TRUE,,,2,7,150,TRUE,,,2,7,150,FALSE,,,2,8,150,TRUE,,,2,8,150,FALSE,,,2,8,150,FALSE,
Abductor (Outer),,2,8,80,TRUE,,,2,8,80,TRUE,,,2,8,80,TRUE,,,2,8,80,TRUE,,,2,8,80,TRUE,,,2,8,90,TRUE,,,2,8,90,FALSE,,,2,8,100,TRUE,,,2,8,100,TRUE,,,2,8,100,TRUE,,,2,8,110,TRUE,,,2,8,120,TRUE,,,2,8,120,TRUE,,,2,8,120,FALSE,,,2,8,120,FALSE,,,2,8,120,TRUE,,,2,8,120,FALSE,,,2,8,120,TRUE,,,2,8,120,FALSE,,,2,8,120,FALSE,,,2,8,120,TRUE,,,2,8,120,TRUE,,,2,8,120,TRUE,,,2,8,140,TRUE,,,2,8,140,TRUE,,,2,7,150,TRUE,,,2,7,150,FALSE,,,2,8,150,TRUE,,,2,8,150,FALSE,,,2,8,150,FALSE,
Push,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Incline Smith Bench Press,Week 1,2,8,100,TRUE,,Week 2,2,6,120,TRUE,,Week 3,2,6,120,TRUE,,Week 4,2,6,120,TRUE,,Week 5,2,6,130,TRUE,,Week 6,2,6,120,TRUE,,Week 7,2,6,120,TRUE,,Week 8,2,6,120,TRUE,DB 65s,Week 9,2,7,120,TRUE,,Week 10,2,6,125,TRUE,,Week 11,2,6,125,TRUE,65 DBs,Week 12,2,6,125,TRUE,2 x 65 DBs,Week 13,2,6,125,TRUE,2 x 70lb DBs,Week 14,2,6,125,TRUE,70lb DBs,Week 15,2,6,125,TRUE,,Week 16,2,6,130,TRUE,,Week 17,2,6,130,TRUE,,Week 18,2,6,140,TRUE,,Week 19,2,6,140,TRUE,,Week 20,2,6,140,TRUE,,Week 21,2,6,140,TRUE,,Week 22,2,6,140,TRUE,65lb DBs,Week 23,2,6,140,TRUE,,Week 24,2,6,135,TRUE,,Week 25,2,6,135,TRUE,,Week 26,2,6,135,TRUE,,Week 28,2,6,135,TRUE,,Week 29,2,6,135,TRUE,,Week 30,2,6,135,TRUE,Machine 8x160,Week 31,2,6,135,FALSE,Machine 8x160
Weighted Dip,,2,8,10,TRUE,,,2,10,20,TRUE,,,2,9,25,TRUE,,,2,9,25,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,,,2,8,35,TRUE,BW x 12,,2,8,40,TRUE,,,2,8,40,TRUE,,,2,8,40,TRUE,BW,,2,8,40,TRUE,BW x 15,,2,8,40,TRUE,,,2,8,40,TRUE,,,2,8,40,TRUE,,,2,6,45,TRUE,,,2,6,45,TRUE,,,2,8,45,TRUE,,,2,8,45,TRUE,,,2,8,45,TRUE,,,2,8,45,TRUE,,,2,8,45,TRUE,,,2,8,45,TRUE,,,2,8,45,TRUE,,,2,9,45,TRUE,,,2,9,45,TRUE,,,2,9,45,TRUE,,,2,9,45,TRUE,,,2,10,45,TRUE,,,2,10,45,FALSE,
Tricep Pushdown,,2,10,50,TRUE,,,2,10,50,TRUE,,,2,10,55,TRUE,,,2,10,55,TRUE,,,2,10,55,TRUE,,,2,10,55,TRUE,,,2,10,55,TRUE,,,2,10,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,Single Arm (30),,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,8,55,TRUE,,,2,6,60,TRUE,,,2,6,60,TRUE,,,2,6,60,FALSE,
Chest Fly,,2,8,80,TRUE,,,2,8,80,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,90,TRUE,,,2,8,100,TRUE,,,2,8,100,TRUE,,,2,8,100,TRUE,,,2,8,100,TRUE,,,2,8,100,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,110,TRUE,,,2,6,120,TRUE,,,2,6,120,TRUE,,,2,6,120,FALSE,
