Exercise Log,,Setup (7/28 - 8/3),,,,,,,,Week 1 (8/4 - 8/10),,,,,,,,Week 2,,,,,,,,Week 3,,,,,,,,Week 4,,,,,,,,Week 5,,,,,,,,Week 6,,,,,,,,Week 7,,,,,,,,Week 8,,,,,,,,Week 9,,,,,,,,Week 10,,,,,,,,Week 11,,,,,,,,Week 12,,,,,,,,Week 13,,,,,,,,Week 14,,,,,,,,Week 15,,,,,,,,Week 16,,,,,,,,Week 17,,,,,,,,Week 18,,,,,,,,Week 19,,,,,,,,Week 20,,,,,,,,Week 21,,,,,,,,Week 22,,,,,,,,Week 23,,,,,,
,,"Sets
(Min)","Sets
(Max)","Reps
(Min)","Reps
(Max)","Load
(Start)","Round
to ???",Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level,,Sets,Reps,Load,TRUE,100%?,Notes,Level
Tricep Rope Extension,,2,3,8,10,100,5,,,2,8,100,TRUE,Yes,,,,2,9,100,TRUE,Yes,,,,2,9,100,TRUE,Yes,,,,2,9,110,TRUE,Yes,,,,2,9,110,TRUE,Yes,,,,2,9,110,TRUE,Yes,,,,2,9,110,TRUE,Yes,failed 2nd,,,2,9,110,TRUE,Yes,,,,2,9,110,TRUE,Yes,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,
DB Lateral Raise,,3,3,10,12,25,5,,,3,10,25,TRUE,Yes,,,,3,10,25,TRUE,Yes,,,,3,10,25,TRUE,Yes,,,,3,10,25,TRUE,Yes,,,,3,10,25,TRUE,Yes,,,,3,11,25,TRUE,Yes,,,,3,11,25,TRUE,Yes,,,,3,11,25,TRUE,Yes,,,,3,11,25,TRUE,Yes,,,,3,11,25,TRUE,,,,,3,11,25,TRUE,,,,,3,11,25,TRUE,,,,,3,11,25,TRUE,,,,,3,11,25,TRUE,,,,,3,11,25,TRUE,,,,,3,11,25,TRUE,,,,,3,11,25,TRUE,,,,,3,11,25,TRUE,,,,,3,11,25,TRUE,,,,,3,11,25,TRUE,,,,,3,8,30,TRUE,,,,,3,8,30,TRUE,,,,,3,8,30,TRUE,,,
Tricep Pushdown,,2,3,6,8,55,5,,,2,6,55,TRUE,Yes,,,,2,6,55,TRUE,Yes,,,,2,6,55,TRUE,Yes,,,,2,7,60,TRUE,Yes,,,,2,9,60,TRUE,Yes,,,,2,9,60,TRUE,Yes,,,,2,9,60,TRUE,Yes,,,,2,10,60,TRUE,Yes,,,,2,10,60,TRUE,Yes,,,,2,10,60,TRUE,,,,,2,10,60,TRUE,,,,,2,10,60,TRUE,,,,,2,10,60,TRUE,,,,,2,10,60,TRUE,,,,,2,10,60,TRUE,,,,,2,10,60,TRUE,,,,,2,10,60,TRUE,,,,,2,10,60,TRUE,,,,,2,10,60,TRUE,,,,,2,10,60,TRUE,,,,,2,10,60,TRUE,,,,,2,10,60,TRUE,,,,,2,10,60,TRUE,,,
Incline Cable Fly,,2,3,8,10,55,5,,,2,8,55,TRUE,Yes,,,,2,8,55,TRUE,Yes,,,,2,8,55,TRUE,Yes,,,,2,8,55,TRUE,Yes,,,,2,8,55,TRUE,Yes,,,,2,8,55,TRUE,Yes,,,,2,8,55,TRUE,Yes,,,,2,8,55,TRUE,Yes,,,,2,8,55,FALSE,No,Couldn't do (left wrist). Did cardio,,,2,8,55,TRUE,,Pushups,,,2,8,55,TRUE,,,,,2,8,55,FALSE,,,,,2,8,55,TRUE,,,,,2,8,55,TRUE,,,,,2,8,55,TRUE,,dips,,,2,8,55,TRUE,,,,,2,8,55,TRUE,,,,,2,8,55,TRUE,,,,,2,8,55,TRUE,,,,,2,8,55,TRUE,,,,,2,8,55,TRUE,,,,,2,8,55,TRUE,,,,,2,8,55,TRUE,,,
Pull A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Close Grip Pull-up,Setup,3,3,6,8,N/A,5,,Week 1,3,8,N/A,TRUE,Yes,,,Week 2,3,8,N/A,TRUE,Yes,,,Week 3,3,8,N/A,TRUE,Yes,,,Week 4,3,8,N/A,TRUE,Yes,,,Week 5,3,8,N/A,TRUE,Yes,,,Week 6,3,8,N/A,TRUE,Yes,,,Week 7,3,8,N/A,TRUE,Yes,,,Week 8,3,8,N/A,TRUE,Yes,,,Week 9,3,8,N/A,TRUE,Yes,,,Week 10,3,8,N/A,TRUE,,,,Week 11,3,8,N/A,TRUE,,,,Week 12,3,8,N/A,TRUE,,,,Week 13,3,8,N/A,FALSE,,,,Week 14,3,8,N/A,TRUE,,,,Week 15,3,8,N/A,TRUE,,,,Week 16,3,8,N/A,TRUE,,,,Week 17,3,8,N/A,TRUE,,,,Week 18,3,8,175,TRUE,,,,Week 19,3,8,175,TRUE,,,,Week 20,3,8,175,TRUE,,,,Week 21,3,8,175,TRUE,,,,Week 22,3,8,175,TRUE,,,,Week 22,3,8,175,TRUE,,,
DB Row,,2,3,6,8,55,5,,,2,8,55,TRUE,Yes,,,,2,8,55,TRUE,Yes,,,,2,8,55,TRUE,Yes,,,,2,8,60,TRUE,Yes,,,,2,8,60,TRUE,Yes,,,,2,8,60,TRUE,Yes,SINGLE ARM,,,2,8,60,TRUE,Yes,Single Arm,,,2,8,60,TRUE,Yes,,,,2,8,60,TRUE,Yes,,,,2,8,60,TRUE,,,,,2,8,60,TRUE,,,,,2,8,60,TRUE,,,,,2,8,60,FALSE,,,,,2,8,60,TRUE,,,,,2,8,60,TRUE,,,,,2,8,60,TRUE,,,,,2,8,60,TRUE,,,,,2,8,65,TRUE,,,,,2,8,65,TRUE,,,,,2,8,65,TRUE,,,,,2,8,70,TRUE,,,,,2,8,65,TRUE,,,,,2,8,65,TRUE,,,
Cable Pullover,,2,2,8,10,110,5,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,9,100,TRUE,Yes,,,,2,9,100,TRUE,Yes,,,,2,9,100,TRUE,Yes,,,,2,9,100,TRUE,Yes,,,,2,9,100,TRUE,,,,,2,9,100,TRUE,,,,,2,9,100,TRUE,,,,,2,9,100,FALSE,,,,,2,9,100,TRUE,,,,,2,9,100,TRUE,,,,,2,9,100,TRUE,,,,,2,9,100,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,,,2,9,110,TRUE,,,
DB Preacher Curl,,2,3,8,10,25,5,,,2,8,25,TRUE,Yes,,,,2,9,25,TRUE,Yes,,,,2,10,25,TRUE,Yes,,,,2,9,27.5,TRUE,Yes,,,,2,9,30,TRUE,Yes,,,,2,9,30,TRUE,Yes,,,,2,9,30,TRUE,Yes,,,,2,9,30,TRUE,Yes,,,,2,9,30,FALSE,Yes,,,,2,9,30,TRUE,,,,,2,9,30,TRUE,,,,,2,9,30,TRUE,,,,,2,9,30,FALSE,,,,,2,9,30,TRUE,,,,,2,9,30,TRUE,,,,,2,9,30,TRUE,,,,,2,9,30,TRUE,,,,,2,8,35,TRUE,,,,,2,8,30,TRUE,,,,,2,8,35,TRUE,,,,,2,8,35,TRUE,,,,,2,8,35,TRUE,,,,,2,8,35,TRUE,,,
Face Pull,,2,3,8,10,95,5,,,2,8,95,TRUE,Yes,,,,2,10,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,Switched to standing. Pulling upwards,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,Yes,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,FALSE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,,,2,8,100,TRUE,,,
